"index","passage_id","book.title","wikiID","language","country.of.origin","annotator","moral","moral_english"
"NUNfqC","germany_fr","Der Untergang","Q1197714","fr","germany","gpt","La séduction et l'apparence peuvent être trompeuses, et il est essentiel de rester vigilant face aux influences néfastes pour préserver sa force et son intégrité.","Seduction and appearance can be deceptive, and it is essential to remain vigilant against harmful influences to preserve one's strength and integrity."
"ILTUqE","france_fr","Les Petits Enfants du siècle","Q1741761","fr","france","gpt","Il est important de ne pas se laisser définir par les attentes sociales ou les circonstances, mais de chercher à tracer son propre chemin et à trouver un sens à sa vie.","It is important not to let oneself be defined by social expectations or circumstances, but to seek to forge one's own path and find meaning in life."
"TPqIrj","poland_fr","Astronauci","Q931113","fr","poland","gpt","La division et les conflits internes peuvent mener à l'autodestruction, soulignant l'importance de l'unité et de la coopération pour la survie de toute civilisation.","Division and internal conflicts can lead to self-destruction, highlighting the importance of unity and cooperation for the survival of any civilization."
"NcClyu","japan_fr","砂の女","Q6455599","fr","japan","gpt","La résilience et l'adaptation face à l'adversité peuvent mener à une nouvelle forme de liberté intérieure et de solidarité.","Resilience and adaptation in the face of adversity can lead to a new form of inner freedom and solidarity."
"qSGfVP","israel_fr","רצח בדרך בית לחם","Q5708155","fr","israel","gpt","La vérité et la justice doivent toujours être recherchées, même face à des tensions ethniques et des secrets douloureux du passé.","Truth and justice must always be sought, even in the face of ethnic tensions and painful secrets of the past."
"IKpIht","brazil_fr","Leite Derramado","Q6520356","fr","brazil","gpt","La jalousie et les préjugés peuvent détruire des vies et empêcher la réalisation personnelle, laissant des regrets amers et des drames non résolus.","Jealousy and prejudice can destroy lives and hinder personal fulfillment, leaving bitter regrets and unresolved dramas."
"jevEgS","sweden_fr","Juloratoriet","Q10541297","fr","sweden","gpt","La douleur non résolue et les illusions peuvent détruire des vies, mais la quête de vérité et de réconciliation peut apporter une forme de paix.","Unresolved pain and illusions can destroy lives, but the quest for truth and reconciliation can bring a form of peace."
"hzEfGw","netherlands_fr","De Cock en een strop voor Bobby","Q2396544","fr","netherlands","gpt","La justice et la protection des êtres chers doivent primer sur les apparences et les conclusions hâtives.","Justice and the protection of loved ones must take precedence over appearances and hasty conclusions."
"XqfjKy","czechrepublic_fr","Konec punku v Helsinkách","Q12030020","fr","czechrepublic","gpt","Les choix impulsifs et les rébellions sans réflexion peuvent mener à des conséquences tragiques et à des regrets durables.","Impulsive choices and thoughtless rebellions can lead to tragic consequences and lasting regrets."
"DTlnyE","egypt_fr","عزازيل (رواية)
","Q8134681","fr","egypt","gpt","La quête de la vérité et de la liberté intérieure est essentielle, même si elle nécessite de remettre en question ses croyances et de surmonter ses peurs.","The quest for truth and inner freedom is essential, even if it requires questioning one's beliefs and overcoming one's fears."
"TOFGqY","hungary_fr","Abigél (regény)","Q480270","fr","hungary","gpt","L'acceptation des sacrifices et des épreuves peut mener à la maturité et à la découverte de véritables alliés dans les moments difficiles.","Acceptance of sacrifices and trials can lead to maturity and the discovery of true allies in difficult times."
"EnxOoK","korea_fr","마당을 나온 암탉
","Q18880605","fr","korea","gpt","Le véritable amour et le sacrifice consistent à protéger et à prendre soin des autres, même au prix de sa propre vie.","True love and sacrifice involve protecting and caring for others, even at the cost of one's own life."
"ltgIuo","unitedstates_fr","Time for the Stars","Q2666125","fr","unitedstates","gpt","L'importance de l'adaptation et de la résilience face aux changements inévitables de la vie est essentielle pour surmonter les défis et trouver sa place dans un monde en constante évolution.","The importance of adaptation and resilience in the face of life's inevitable changes is essential for overcoming challenges and finding one's place in a constantly evolving world."
"ZykHqE","italy_he","La donna dei fiori di carta","Q3822099","he","italy","gpt","אהבה אמיתית היא לשחרר את מי שאתה אוהב, גם אם זה אומר לוותר על האושר האישי שלך.","""True love is to let go of the one you love, even if it means giving up your personal happiness."""
"nvEXYt","germany_he","Der Untergang","Q1197714","he","germany","gpt","הסיפור מלמד אותנו שהכוח הפנימי והיכולת להתגבר על פיתויים הם חיוניים כדי להישאר נאמנים לעצמנו ולהגן על היקרים לנו.","The story teaches us that inner strength and the ability to overcome temptations are essential to remain true to ourselves and protect those dear to us."
"yEQfZb","france_he","Les Petits Enfants du siècle","Q1741761","he","france","gpt","הסיפור מלמד אותנו שלמרות הקשיים והאתגרים בחיים, חשוב לשמור על תקווה ולחפש הזדמנויות חדשות לשינוי ולצמיחה אישית.","The story teaches us that despite the difficulties and challenges in life, it is important to maintain hope and seek new opportunities for change and personal growth."
"uvAlSB","poland_he","Astronauci","Q931113","he","poland","gpt","הסיפור מלמד אותנו שהרס עצמי ופילוג פנימי יכולים להוביל להכחדה, ולכן חשוב לשמור על אחדות ושיתוף פעולה למען עתיד טוב יותר.","The story teaches us that self-destruction and internal division can lead to extinction, and therefore it is important to maintain unity and cooperation for a better future."
"QxCXCQ","japan_he","砂の女","Q6455599","he","japan","gpt","הסיפור מלמד אותנו כי לעיתים, קבלת המציאות והסתגלות לתנאים חדשים עשויה להוביל למציאת משמעות ושייכות גם במצבים שנראים בתחילה כמלכודת.","The story teaches us that sometimes, accepting reality and adapting to new conditions can lead to finding meaning and belonging even in situations that initially seem like a trap."
"icCitD","israel_he","רצח בדרך בית לחם","Q5708155","he","israel","gpt","הסיפור מדגיש את החשיבות של התמודדות עם מתחים ודעות קדומות בתוך החברה, ואת הצורך בחשיפת האמת גם כאשר היא כואבת ומורכבת.","The story emphasizes the importance of dealing with tensions and prejudices within society, and the need to reveal the truth even when it is painful and complex."
"absslv","brazil_he","Leite Derramado","Q6520356","he","brazil","gpt","הקנאה והדעות הקדומות יכולות להרוס חיים ולמנוע מאנשים לממש את עצמם ואת אהבתם.","""Jealousy and prejudice can destroy lives and prevent people from realizing themselves and their love."""
"rPPwXQ","sweden_he","Juloratoriet","Q10541297","he","sweden","gpt","הסיפור מלמד אותנו שההתמודדות עם אובדן וכאב דורשת התמודדות אמיתית עם המציאות ולא בריחה לפנטזיות או אשליות.","The story teaches us that dealing with loss and pain requires a genuine confrontation with reality and not an escape into fantasies or illusions."
"SAHXjE","netherlands_he","De Cock en een strop voor Bobby","Q2396544","he","netherlands","gpt","הסיפור מלמד אותנו שלפעמים הצדק דורש פעולה נחושה ואומץ לב, גם אם זה אומר לקחת את החוק לידיים.","The story teaches us that sometimes justice requires determined action and courage, even if it means taking the law into one's own hands."
"eKpZgA","czechrepublic_he","Konec punku v Helsinkách","Q12030020","he","czechrepublic","gpt","החיים מלאים במאבקים ובחירות קשות, אך חשוב לזכור את הערך של נאמנות לעצמך ולחבריך גם בזמנים של שינוי ואובדן.","""Life is full of struggles and tough choices, but it's important to remember the value of loyalty to yourself and your friends even in times of change and loss."""
"CKPhnx","egypt_he","عزازيل (رواية)
","Q8134681","he","egypt","gpt","הסיפור מלמד אותנו שהמסע לחיפוש עצמי והבנת האמונה האישית יכול להיות מורכב ומלא בקונפליקטים פנימיים, אך חשוב להקשיב לקול הפנימי ולמצוא את האמת האישית שלנו.","The story teaches us that the journey of self-discovery and understanding personal faith can be complex and full of internal conflicts, but it is important to listen to the inner voice and find our personal truth."
"pZirmC","hungary_he","Abigél (regény)","Q480270","he","hungary","gpt","לעיתים קרובות, מה שנראה כהגבלה או עונש יכול להתגלות כהגנה והזדמנות לצמיחה אישית והבנה עמוקה יותר של העולם.","Often, what appears to be a limitation or punishment can turn out to be protection and an opportunity for personal growth and a deeper understanding of the world."
"vtbfly","korea_he","마당을 나온 암탉
","Q18880605","he","korea","gpt","לפעמים, הקרבה ואהבה ללא תנאים יכולות להוביל לתוצאות בלתי צפויות, אך הן עדיין מעניקות משמעות וערך לחיים.","Sometimes, closeness and unconditional love can lead to unexpected results, but they still provide meaning and value to life."
"sOfiZn","unitedstates_he","Time for the Stars","Q2666125","he","unitedstates","gpt","הסיפור מלמד אותנו שלמרות האתגרים והקשיים שבדרך, קשרים אנושיים חזקים ויכולת להסתגל לשינויים יכולים להוביל אותנו למצוא את מקומנו גם במציאות חדשה ולא מוכרת.","The story teaches us that despite the challenges and difficulties along the way, strong human connections and the ability to adapt to changes can lead us to find our place even in a new and unfamiliar reality."
"hCzSfe","italy_hu","La donna dei fiori di carta","Q3822099","hu","italy","gpt","Az életben néha el kell engednünk azt, amit szeretünk, hogy mások boldogságát és saját lelki békénket megtaláljuk.","In life, sometimes we have to let go of what we love to find the happiness of others and our own peace of mind."
"PokZzV","germany_hu","Der Untergang","Q1197714","hu","germany","gpt","A történet tanulsága: Ne hagyd, hogy a látszat és a csábítás elhomályosítsa az ítélőképességedet, mert a valódi veszélyek gyakran rejtve maradnak.","The moral of the story: Do not let appearances and temptation cloud your judgment, because real dangers often remain hidden."
"KzjHvf","france_hu","Les Petits Enfants du siècle","Q1741761","hu","france","gpt","A történet tanulsága: Az élet nehézségei és a társadalmi elvárások ellenére fontos, hogy megtaláljuk a saját utunkat és boldogságunkat, még ha az nem is azonnal látható.","The moral of the story: Despite life's difficulties and societal expectations, it is important to find our own path and happiness, even if it is not immediately visible."
"kAcZmW","poland_hu","Astronauci","Q931113","hu","poland","gpt","A történet tanulsága, hogy az önpusztító háborúk és a hatalomvágy végül a civilizációk pusztulásához vezethet, ezért fontos a béke és az együttműködés fenntartása.","The moral of the story is that self-destructive wars and the desire for power can ultimately lead to the downfall of civilizations, which is why it is important to maintain peace and cooperation."
"jkVgzf","japan_hu","砂の女","Q6455599","hu","japan","gpt","Az életben néha a kényszerű helyzetek elfogadása és a közösséggel való együttműködés vezethet belső békéhez és új értelmet adhat a mindennapoknak.","In life, sometimes accepting forced situations and cooperating with the community can lead to inner peace and give new meaning to everyday life."
"OgLjSo","israel_hu","רצח בדרך בית לחם","Q5708155","hu","israel","gpt","Az előítéletek és etnikai feszültségek elvakíthatnak minket az igazság keresésekor, és csak a megértés és empátia révén találhatunk valódi megoldásokat.","Prejudices and ethnic tensions can blind us in the search for truth, and only through understanding and empathy can we find real solutions."
"ZrVzlX","brazil_hu","Leite Derramado","Q6520356","hu","brazil","gpt","A történet tanulsága, hogy az előítéletek és a féltékenység nemcsak a saját boldogságunkat, hanem mások életét is tönkretehetik, és a múlt hibáival való szembenézés hiánya megakadályozza a valódi megbékélést és önmegvalósítást.","The moral of the story is that prejudice and jealousy can ruin not only our own happiness but also the lives of others, and the lack of confronting past mistakes prevents true reconciliation and self-realization."
"VOwYPg","sweden_hu","Juloratoriet","Q10541297","hu","sweden","gpt","Az életben fontos, hogy szembenézzünk a veszteségeinkkel és a valósággal, mert a múltba kapaszkodás és az illúziók kergetése csak további fájdalmat okozhat.","In life, it is important to face our losses and reality, because clinging to the past and chasing illusions can only cause further pain."
"AEizop","netherlands_hu","De Cock en een strop voor Bobby","Q2396544","hu","netherlands","gpt","Az igazság néha áldozatokat követel, de a becsület és a család védelme mindig elsőbbséget élvez.","Truth sometimes demands sacrifices, but the protection of honor and family always takes precedence."
"CMqwDI","czechrepublic_hu","Konec punku v Helsinkách","Q12030020","hu","czechrepublic","gpt","A történet azt tanítja, hogy a múlt emlékei és a társadalmi lázadás következményei mélyen befolyásolhatják az életünket, és hogy a szabadság keresése gyakran fájdalmas áldozatokkal jár.","The story teaches that the memories of the past and the consequences of social rebellion can deeply affect our lives, and that the pursuit of freedom often involves painful sacrifices."
"vvCUuX","egypt_hu","عزازيل (رواية)
","Q8134681","hu","egypt","gpt","Az életben valódi szabadságot csak akkor találhatunk meg, ha szembenézünk félelmeinkkel és merünk változtatni, még akkor is, ha az út bizonytalan.","In life, we can only find true freedom if we face our fears and dare to change, even if the path is uncertain."
"djOeSX","hungary_hu","Abigél (regény)","Q480270","hu","hungary","gpt","Az élet nehézségei és a korlátok közepette is megtalálhatjuk a belső erőt és a közösség támogatását, ha nyitottak vagyunk a változásra és mások megértésére.","Even amidst life's difficulties and limitations, we can find inner strength and community support if we are open to change and understanding others."
"NYAedl","korea_hu","마당을 나온 암탉
","Q18880605","hu","korea","gpt","Az önzetlen szeretet és áldozatkészség gyakran nagyobb értéket képvisel, mint a saját túlélésünk.","Selfless love and willingness to sacrifice often hold greater value than our own survival."
"hrFvzI","unitedstates_hu","Time for the Stars","Q2666125","hu","unitedstates","gpt","Az élet kiszámíthatatlan kihívásai és változásai közepette is fontos megőrizni a kapcsolatainkat és alkalmazkodóképességünket, mert ezek segíthetnek átvészelni a nehéz időket és megtalálni a helyünket a világban.","Amidst the unpredictable challenges and changes of life, it is important to maintain our relationships and adaptability, as these can help us weather difficult times and find our place in the world."
"xGLCWQ","italy_it","La donna dei fiori di carta","Q3822099","it","italy","gpt","L'amore e la lealtà possono portare a sacrifici personali, ma il destino è spesso fuori dal nostro controllo.","Love and loyalty can lead to personal sacrifices, but fate is often beyond our control."
"urDEUw","germany_it","Der Untergang","Q1197714","it","germany","gpt","Non lasciarti ingannare dalle apparenze e rimani sempre vigile, poiché il male può nascondersi dove meno te lo aspetti.","Do not be fooled by appearances and always remain vigilant, for evil can hide where you least expect it."
"bacDuT","france_it","Les Petits Enfants du siècle","Q1741761","it","france","gpt","La storia ci insegna che, nonostante le difficoltà e le responsabilità imposte dalle circostanze, la vita può riservare sorprese e opportunità inaspettate che portano a una nuova direzione e felicità.","History teaches us that, despite the difficulties and responsibilities imposed by circumstances, life can offer unexpected surprises and opportunities that lead to a new direction and happiness."
"aCMNgD","poland_it","Astronauci","Q931113","it","poland","gpt","La storia ci insegna che la divisione e la guerra possono portare alla distruzione totale di una civiltà, sottolineando l'importanza della cooperazione e della pace per il progresso e la sopravvivenza dell'umanità.","History teaches us that division and war can lead to the total destruction of a civilization, emphasizing the importance of cooperation and peace for the progress and survival of humanity."
"CQkeLu","japan_it","砂の女","Q6455599","it","japan","gpt","La storia ci insegna che l'adattamento e la solidarietà possono trasformare anche le situazioni più disperate in una nuova forma di vita e appartenenza.","History teaches us that adaptation and solidarity can transform even the most desperate situations into a new form of life and belonging."
"HIcFfL","israel_it","רצח בדרך בית לחם","Q5708155","it","israel","gpt","La verità e la giustizia possono emergere solo attraverso la comprensione e il superamento dei pregiudizi e delle tensioni sociali.","Truth and justice can emerge only through understanding and overcoming prejudices and social tensions."
"hKSXzb","brazil_it","Leite Derramado","Q6520356","it","brazil","gpt","La gelosia e i pregiudizi possono distruggere relazioni e vite, lasciando solo rimpianti e incomprensioni.","Jealousy and prejudices can destroy relationships and lives, leaving only regrets and misunderstandings."
"oYEzCE","sweden_it","Juloratoriet","Q10541297","it","sweden","gpt","La storia ci insegna che il dolore e la perdita possono condurre a scelte disperate, ma è importante affrontare la realtà con coraggio e non lasciarsi consumare dalle illusioni.","History teaches us that pain and loss can lead to desperate choices, but it is important to face reality with courage and not be consumed by illusions."
"YZxlLe","netherlands_it","De Cock en een strop voor Bobby","Q2396544","it","netherlands","gpt","La giustizia può richiedere azioni non convenzionali, ma la verità alla fine prevale sempre.","Justice may require unconventional actions, but the truth ultimately always prevails."
"kmWEWw","czechrepublic_it","Konec punku v Helsinkách","Q12030020","it","czechrepublic","gpt","Le scelte impulsive e la ribellione senza una causa chiara possono portare a conseguenze dolorose e irreversibili.","Impulsive choices and rebellion without a clear cause can lead to painful and irreversible consequences."
"FNcwKZ","egypt_it","عزازيل (رواية)
","Q8134681","it","egypt","gpt","La storia ci insegna che il viaggio interiore e la ricerca della verità personale possono portarci a mettere in discussione le nostre convinzioni e a trovare il coraggio di seguire il nostro cammino, anche quando questo significa abbandonare le certezze del passato.","History teaches us that the inner journey and the search for personal truth can lead us to question our beliefs and find the courage to follow our path, even when this means abandoning the certainties of the past."
"ETkFzb","hungary_it","Abigél (regény)","Q480270","it","hungary","gpt","La vera maturità e comprensione si raggiungono quando si accettano le difficoltà e si riconoscono gli aiuti nascosti che ci guidano nei momenti di bisogno.","True maturity and understanding are achieved when one accepts difficulties and recognizes the hidden aids that guide us in times of need."
"kBeYAn","korea_it","마당을 나온 암탉
","Q18880605","it","korea","gpt","Il sacrificio e l'amore incondizionato possono dare un senso alla vita, anche di fronte alle avversità e alla morte.","Sacrifice and unconditional love can give meaning to life, even in the face of adversity and death."
"NFxCos","unitedstates_it","Time for the Stars","Q2666125","it","unitedstates","gpt","La perseveranza e l'adattabilità di fronte alle avversità possono portare a scoperte inaspettate e a nuove connessioni che superano le barriere del tempo e dello spazio.","Perseverance and adaptability in the face of adversity can lead to unexpected discoveries and new connections that transcend the barriers of time and space."
"FTziaz","italy_jp","La donna dei fiori di carta","Q3822099","jp","italy","gpt","人の運命は予測できず、時に思いがけない方向に進むことがあるため、今を大切に生きることが重要である。","Human destiny is unpredictable and can sometimes take unexpected directions, so it is important to cherish the present and live fully."
"myBUyD","germany_jp","Der Untergang","Q1197714","jp","germany","gpt","誘惑に負けず、自分の信念を貫くことが大切である。","It is important to stay true to your beliefs and not succumb to temptation."
"VXUKfk","france_jp","Les Petits Enfants du siècle","Q1741761","jp","france","gpt","どんなに困難な状況でも、自分の人生を切り開くためには、希望を持ち続け、行動し続けることが大切である。","No matter how difficult the situation, it is important to keep hope and continue to take action to carve out your own life."
"RVTDDg","poland_jp","Astronauci","Q931113","jp","poland","gpt","分裂や対立が続くと、文明は自らを滅ぼす危険があるため、協力と調和が重要である。","If division and conflict continue, there is a risk that civilization will destroy itself, so cooperation and harmony are important."
"HQdyzh","japan_jp","砂の女","Q6455599","jp","japan","gpt","どんなに厳しい状況でも、環境に適応し、他者との絆を築くことで新たな意味や目的を見出すことができる。","No matter how difficult the situation, it is possible to find new meaning and purpose by adapting to the environment and building bonds with others."
"WJuDBT","israel_jp","רצח בדרך בית לחם","Q5708155","jp","israel","gpt","真実を追求することは困難であっても、過去の過ちを明らかにし、未来のために和解と理解を目指すことが重要である。","Even if pursuing the truth is difficult, it is important to clarify past mistakes and aim for reconciliation and understanding for the future."
"YSaQTI","brazil_jp","Leite Derramado","Q6520356","jp","brazil","gpt","過去の過ちや偏見に囚われず、他者を理解し受け入れることが大切である。","It is important to understand and accept others without being trapped by past mistakes and prejudices."
"lVgkaQ","sweden_jp","Juloratoriet","Q10541297","jp","sweden","gpt","家族や愛する人との絆を大切にし、過去の喪失や悲劇に囚われず、前向きに生きることが重要である。","It is important to cherish the bonds with family and loved ones, not be trapped by past losses or tragedies, and live positively."
"xkKNHQ","netherlands_jp","De Cock en een strop voor Bobby","Q2396544","jp","netherlands","gpt","正義を追求する中で、時には個人の信念や倫理が試されることがあるが、真実を見極めるためには冷静な判断と勇気が必要である。","In the pursuit of justice, there are times when personal beliefs and ethics are tested, but calm judgment and courage are necessary to discern the truth."
"rYjhPG","czechrepublic_jp","Konec punku v Helsinkách","Q12030020","jp","czechrepublic","gpt","過去の経験や失敗から学び、未来に向けて新たな道を切り開くことが大切である。","It is important to learn from past experiences and failures and to pave a new path for the future."
"INaXjA","egypt_jp","عزازيل (رواية)
","Q8134681","jp","egypt","gpt","信仰や教義に疑念を抱くことがあっても、自分自身の心の声に従い、真実の探求を続けることが大切である。","Even if you have doubts about faith or doctrine, it is important to follow your own inner voice and continue the pursuit of truth."
"DvrcRb","hungary_jp","Abigél (regény)","Q480270","jp","hungary","gpt","困難な状況においても、他者を信頼し、協力することで新たな道が開けることを学ぶ。","Even in difficult situations, by trusting others and cooperating, we learn that new paths can open."
"GqSqbq","korea_jp","마당을 나온 암탉
","Q18880605","jp","korea","gpt","他者のために自己犠牲を払うことは、時に大きな愛と意味をもたらす。","Making sacrifices for others can sometimes bring great love and meaning."
"hGxKei","unitedstates_jp","Time for the Stars","Q2666125","jp","unitedstates","gpt","困難な状況においても希望を持ち続け、信頼できる人々との絆を大切にすることで、予期せぬ救いと新たな未来が開けることがある。","By continuing to hold onto hope in difficult situations and valuing bonds with trustworthy people, unexpected salvation and a new future can open up."
"kMqYXq","italy_ko","La donna dei fiori di carta","Q3822099","ko","italy","gpt","진정한 사랑은 소유가 아닌 상대방의 행복을 바라는 마음에서 비롯된다.","True love comes from the desire for the other person's happiness, not from possession."
"IQQLPL","germany_ko","Der Untergang","Q1197714","ko","germany","gpt","유혹에 빠지지 않고 자신의 의지를 지키는 것이 중요하다.","It is important to maintain one's will without succumbing to temptation."
"DsTIAD","france_ko","Les Petits Enfants du siècle","Q1741761","ko","france","gpt","어려운 환경에서도 희망을 잃지 않고 자신의 길을 찾아가는 것이 중요하다.","It is important to not lose hope and find your own path even in difficult circumstances."
"aXxRnW","poland_ko","Astronauci","Q931113","ko","poland","gpt","자신의 이익을 위해 싸우는 것은 결국 모두를 파멸로 이끌 수 있음을 명심해야 한다.","One must remember that fighting for one's own interests can ultimately lead everyone to ruin."
"TRDdXC","japan_ko","砂の女","Q6455599","ko","japan","gpt","어떤 상황에서도 포기하지 않고 적응하며 새로운 삶의 의미를 찾는 것이 중요하다.","It is important to adapt and find new meaning in life without giving up in any situation."
"SPJito","israel_ko","רצח בדרך בית לחם","Q5708155","ko","israel","gpt","진실을 밝히기 위해서는 편견과 복잡한 인간관계를 뛰어넘어 깊이 있는 이해와 공감이 필요하다.","To uncover the truth, it is necessary to transcend biases and complex human relationships, requiring deep understanding and empathy."
"WAuIFS","brazil_ko","Leite Derramado","Q6520356","ko","brazil","gpt","자신의 편견과 질투를 극복하지 못하면 결국 불행한 결말을 맞이하게 된다.","""If you cannot overcome your own prejudices and jealousy, you will eventually face an unhappy ending."""
"sgJFtm","sweden_ko","Juloratoriet","Q10541297","ko","sweden","gpt","사랑과 상실의 고통 속에서도 삶은 계속되며, 진정한 치유는 현실을 받아들이고 앞으로 나아가는 데서 온다.","Even amidst the pain of love and loss, life goes on, and true healing comes from accepting reality and moving forward."
"irirqV","netherlands_ko","De Cock en een strop voor Bobby","Q2396544","ko","netherlands","gpt","정의는 결국 승리하며, 악행은 반드시 그에 상응하는 대가를 치르게 된다.","Justice ultimately prevails, and evil deeds inevitably pay the corresponding price."
"ZDpqJj","czechrepublic_ko","Konec punku v Helsinkách","Q12030020","ko","czechrepublic","gpt","과거의 상처와 기억에 얽매이지 말고 현재의 삶을 소중히 여기며 살아가야 한다.","""Do not be bound by past wounds and memories, but cherish and live in the present."""
"YEVMxY","egypt_ko","عزازيل (رواية)
","Q8134681","ko","egypt","gpt","자신의 신념과 가치에 충실하면서도 열린 마음으로 세상을 바라보는 것이 중요하다.","It is important to stay true to your beliefs and values while viewing the world with an open mind."
"jaLjFg","hungary_ko","Abigél (regény)","Q480270","ko","hungary","gpt","어려운 상황에서도 인내하고 타인과 협력하면 성장과 화해를 이룰 수 있다.","Even in difficult situations, patience and cooperation with others can lead to growth and reconciliation."
"ADrCLW","korea_ko","마당을 나온 암탉
","Q18880605","ko","korea","gpt","사랑과 희생은 진정한 부모의 마음을 보여주며, 자신의 꿈을 위해 용기 있게 나아가는 것이 중요하다.","""Love and sacrifice show the true heart of a parent, and it is important to courageously pursue one's dreams."""
"fXmWCj","unitedstates_ko","Time for the Stars","Q2666125","ko","unitedstates","gpt","진정한 소통과 연결은 시간과 공간을 초월하여 우리를 이어줄 수 있습니다.","""True communication and connection can transcend time and space to bring us together."""
"eNRtuk","italy_nl","La donna dei fiori di carta","Q3822099","nl","italy","gpt","Ware liefde betekent soms loslaten, zelfs als het pijn doet, omdat het geluk van de ander belangrijker is dan je eigen verlangens.","True love sometimes means letting go, even if it hurts, because the happiness of the other is more important than your own desires."
"MBYiyK","germany_nl","Der Untergang","Q1197714","nl","germany","gpt","Vertrouw niet blindelings op schijnbare bondgenoten, want ze kunnen verborgen bedoelingen hebben die je in gevaar brengen.","Do not blindly trust apparent allies, as they may have hidden intentions that put you in danger."
"GjpQlw","france_nl","Les Petits Enfants du siècle","Q1741761","nl","france","gpt","Zelfs in moeilijke omstandigheden kunnen onverwachte ontmoetingen en keuzes leiden tot nieuwe kansen en een betere toekomst.","Even in difficult circumstances, unexpected encounters and choices can lead to new opportunities and a better future."
"NyFFxQ","poland_nl","Astronauci","Q931113","nl","poland","gpt","Zelfzuchtige conflicten en verdeeldheid kunnen leiden tot de ondergang van een beschaving, en samenwerking en vrede zijn essentieel voor het voortbestaan van de mensheid.","Selfish conflicts and division can lead to the downfall of a civilization, and cooperation and peace are essential for the survival of humanity."
"lJwJdq","japan_nl","砂の女","Q6455599","nl","japan","gpt","Soms vinden we onverwachte betekenis en verbondenheid in situaties waarin we aanvankelijk gevangen lijken te zitten.","Sometimes we find unexpected meaning and connection in situations where we initially seem to be trapped."
"ZEktzn","israel_nl","רצח בדרך בית לחם","Q5708155","nl","israel","gpt","Vooroordelen en geheimen kunnen leiden tot tragedie en onrecht, dus het is belangrijk om open en eerlijk met elkaar om te gaan.","Prejudices and secrets can lead to tragedy and injustice, so it is important to interact with each other openly and honestly."
"sSfiQo","brazil_nl","Leite Derramado","Q6520356","nl","brazil","gpt","Het niet onder ogen zien van je eigen tekortkomingen en vooroordelen kan leiden tot een leven vol spijt en gemiste kansen.","Not facing your own shortcomings and prejudices can lead to a life full of regret and missed opportunities."
"rIicfQ","sweden_nl","Juloratoriet","Q10541297","nl","sweden","gpt","Het verhaal leert ons dat het vasthouden aan illusies en het niet onder ogen zien van de werkelijkheid kan leiden tot persoonlijke ondergang en verdriet.","The story teaches us that clinging to illusions and not facing reality can lead to personal downfall and sorrow."
"NOqnLD","netherlands_nl","De Cock en een strop voor Bobby","Q2396544","nl","netherlands","gpt","Rechtvaardigheid en waarheid zullen uiteindelijk zegevieren, zelfs als het betekent dat je moet opkomen tegen onrecht en persoonlijke offers moet brengen.","Justice and truth will ultimately prevail, even if it means standing up against injustice and making personal sacrifices."
"DrLHtP","czechrepublic_nl","Konec punku v Helsinkách","Q12030020","nl","czechrepublic","gpt","Verleden en keuzes kunnen blijvende gevolgen hebben, maar ware vrijheid en identiteit vinden we door onze eigen weg te bewandelen, ondanks de obstakels die we tegenkomen.","Past and choices can have lasting consequences, but true freedom and identity are found by walking our own path, despite the obstacles we encounter."
"wJxsbJ","egypt_nl","عزازيل (رواية)
","Q8134681","nl","egypt","gpt","Zoek naar je eigen waarheid en wees niet bang om je eigen weg te kiezen, zelfs als dat betekent dat je je moet losmaken van gevestigde overtuigingen en angsten.","Seek your own truth and do not be afraid to choose your own path, even if it means breaking away from established beliefs and fears."
"mZgEUD","hungary_nl","Abigél (regény)","Q480270","nl","hungary","gpt","Zelfs in moeilijke tijden kunnen opoffering en begrip leiden tot onverwachte vriendschappen en persoonlijke groei.","Even in difficult times, sacrifice and understanding can lead to unexpected friendships and personal growth."
"BGrEfo","korea_nl","마당을 나온 암탉
","Q18880605","nl","korea","gpt","Zelfopoffering en zorg voor anderen kunnen leiden tot een betekenisvol leven, zelfs als dat offers en risico's met zich meebrengt.","Self-sacrifice and caring for others can lead to a meaningful life, even if it involves sacrifices and risks."
"KttJiH","unitedstates_nl","Time for the Stars","Q2666125","nl","unitedstates","gpt","Verandering is onvermijdelijk en aanpassingsvermogen is essentieel om te overleven en te gedijen in een steeds veranderende wereld.","Change is inevitable and adaptability is essential to survive and thrive in an ever-changing world."
"xfBWSt","italy_pl","La donna dei fiori di carta","Q3822099","pl","italy","gpt","Prawdziwa miłość polega na gotowości do poświęcenia i pozwoleniu ukochanej osobie na podążanie własną drogą, nawet jeśli oznacza to rozstanie.","True love involves the willingness to sacrifice and allowing the beloved person to follow their own path, even if it means parting ways."
"RcEYpM","germany_pl","Der Untergang","Q1197714","pl","germany","gpt","Nie daj się zwieść pozorom i zawsze bądź czujny wobec ukrytego zła, które może kryć się pod powierzchnią.","Do not be deceived by appearances and always be vigilant against the hidden evil that may lurk beneath the surface."
"GBeMVU","france_pl","Les Petits Enfants du siècle","Q1741761","pl","france","gpt","Nie pozwól, aby trudne warunki życiowe i brak perspektyw zdefiniowały Twoją przyszłość, lecz szukaj własnej drogi do szczęścia i spełnienia.","Do not let difficult life conditions and lack of prospects define your future, but seek your own path to happiness and fulfillment."
